OID,TRAFCODE,TRAFAUTH,ROADNAME,ROADNUMBER,YEARMONTH,Shape_Length
-1,70101,נתיבי היובל, ,431,202007,4592.844928592834549
-1,70101,נתיבי היובל, ,,202007,698.848599611584518
-1,70101,נתיבי היובל, ,,202007,700.901465990993643
-1,70101,נתיבי היובל, ,,202601,557.350649719802277
-1,70101,נתיבי היובל, ,4311,202007,90.040264535282276
-1,70101,נתיבי היובל, ,4311,202007,0.524104121003850
-1,70101,נתיבי היובל, ,4311,202007,781.400128943651680
-1,70101,נתיבי היובל, ,4313,202007,752.051773837579617
-1,70101,נתיבי היובל, ,4315,202007,107.342328867736171
-1,60100,משרד הביטחון, ,4363,202007,418.429724409542303
-1,70106,דרך ארץ, ,44,202007,1829.865607754676148
-1,10101,נתיבי ישראל, ,44,202007,128.346025860193350
-1,70106,דרך ארץ, ,443,202007,484.844312058830155
-1,60100,משרד הביטחון, ,443,202007,750.651346346280889
-1,60100,משרד הביטחון, ,443,202007,292.871585129602181
-1,70106,דרך ארץ, ,444,202007,1517.966644015212523
-1,70106,דרך ארץ, ,444,202007,2944.247930071428982
-1,70106,דרך ארץ, ,444,202007,2630.337107587129140
-1,70106,דרך ארץ, ,4440,202007,162.399339324801360
-1,60100,משרד הביטחון, ,446,202007,355.194250463291269
-1,10104,נתע, ,461,202104,759.360576399552770
-1,10104,נתע, ,461,202104,982.999310194236614
-1,10104,נתע, ,461,202104,3100.481371875613604
-1,10105,רכבת ישראל, ,4613,202007,199.587459135582549
-1,10103,נתיבי איילון, ,4622,202007,1084.532349326830854
-1,70106,דרך ארץ, ,465,202007,507.354731625424165
-1,60100,משרד הביטחון, ,465,202007,300.871329739461373
-1,70106,דרך ארץ, ,471,202007,1642.053457392158634
-1,10101,נתיבי ישראל, ,,202212,105.346983488702605
-1,10101,נתיבי ישראל, ,,202212,60.219129298458952
-1,10101,נתיבי ישראל,זאב ז'בוטינסקי,,202212,106.772055957822786
-1,10101,נתיבי ישראל, ,,202212,0.016728716473106
-1,10101,נתיבי ישראל,זאב ז'בוטינסקי,,202212,83.573746071711327
-1,10101,נתיבי ישראל, ,,202212,34.769225685871668
-1,10101,נתיבי ישראל,זאב ז'בוטינסקי,,202212,74.739910661180815
-1,10101,נתיבי ישראל,זאב ז'בוטינסקי,,202212,31.090193087070446
-1,10101,נתיבי ישראל, ,,202212,80.854062517617223
-1,10101,נתיבי ישראל, ,,202212,44.947985832636576
-1,70106,דרך ארץ, ,483,202007,778.507060580173061
-1,10101,נתיבי ישראל, ,483,202007,636.843401133155794
-1,70106,דרך ארץ, ,5,202007,716.800742438332691
-1,60100,משרד הביטחון, ,5,202007,538.623001504304170
-1,10103,נתיבי איילון, ,5,202007,439.763368840906878
-1,10103,נתיבי איילון, ,,202007,43.279167973118987
-1,10103,נתיבי איילון, ,,202007,95.363893324621955
-1,10103,נתיבי איילון, ,5,202007,43.017539760847342
-1,10103,נתיבי איילון, ,5,202007,327.575721662269814
-1,10103,נתיבי איילון, ,5,202007,83.033178063502220
-1,10103,נתיבי איילון, ,5,202007,156.951575729391152
-1,70106,דרך ארץ, ,5233,202007,627.184641386415478
-1,70106,דרך ארץ, ,5233,202007,298.648369457359138
-1,70106,דרך ארץ, ,531,202007,897.042064849917892
-1,60100,משרד הביטחון, ,55,202007,401.083353429492547
-1,70106,דרך ארץ, ,551,202007,2126.572333671601882
-1,60100,משרד הביטחון, ,5505,202007,88.952574035361963
-1,10103,נתיבי איילון, ,5514,202007,73.089330417632723
-1,10103,נתיבי איילון, ,5514,202007,290.210205227174981
-1,10103,נתיבי איילון, ,553,202007,718.251051514463484
-1,70106,דרך ארץ, ,554,202007,338.522243138515194
-1,70106,דרך ארץ, ,557,202007,322.453241805379605
-1,60100,משרד הביטחון, ,557,202007,534.705550559374842
-1,10101,נתיבי ישראל, ,5614,202412,873.787452782432297
-1,70106,דרך ארץ, ,57,202007,1369.971536173286722
-1,70106,דרך ארץ, ,5714,202007,60.447276898378327
-1,70106,דרך ארץ, ,5714,202007,280.207830850249366
-1,70106,דרך ארץ, ,5714,202007,97.309604238316837
-1,70106,דרך ארץ, ,5715,202007,42.239015224623685
-1,70106,דרך ארץ, ,574,202007,289.114288196620009
-1,70106,דרך ארץ, ,582,202007,858.718656775783870
-1,70106,דרך ארץ, ,5815,202007,654.855961919533229
-1,70106,דרך ארץ, ,5923,202007,406.401725015542354
-1,60100,משרד הביטחון, ,596,202007,341.323249492138245
-1,70106,דרך ארץ, ,6,202406,2962.600350030277696
-1,70103,חוצה צפון, ,6,202007,1552.014996755045559
-1,70103,חוצה צפון, ,,202007,795.999180202661933
-1,70103,חוצה צפון, ,,202007,784.529844044852325
-1,70103,חוצה צפון, ,6,202007,374.154209208727536
-1,70103,חוצה צפון, ,6,202007,6101.878694309109051
-1,70106,דרך ארץ, ,61,202007,699.163534977875088
-1,70106,דרך ארץ, ,6353,202007,106.499387275992973
-1,70106,דרך ארץ, ,65,202007,1462.091270113717428
-1,70106,דרך ארץ, ,653,202007,119.020701211701493
-1,70106,דרך ארץ, ,6533,202007,104.729104982947860
-1,70103,חוצה צפון, ,66,202007,330.715156985948568
-1,70106,דרך ארץ, ,67,202007,943.570530432837700
-1,70106,דרך ארץ, ,67,202406,1030.521013037034436
-1,70106,דרך ארץ, ,7,202007,1595.474679398801982
-1,70103,חוצה צפון, ,70,202007,1897.344380132824881
-1,70103,חוצה צפון, ,70,202007,1222.841373216629108
-1,70103,חוצה צפון, ,70,202007,3208.956049938167780
-1,10105,רכבת ישראל, ,7011,202007,200.000012894980017
-1,40201,מסוף נהר הירדן, ,71,202404,407.437982872166515
-1,70103,חוצה צפון, ,7213,202007,278.017989298045734
-1,70103,חוצה צפון, ,75,202007,2427.685614431336035
-1,10103,נתיבי איילון, ,752,202202,3921.567619884632677
-1,10103,נתיבי איילון, ,752,202202,1004.338674290704603
-1,10103,נתיבי איילון, ,7521,202202,453.796896800185152
-1,10103,נתיבי איילון, ,7521,202007,200.124463985096895
-1,70103,חוצה צפון, ,7723,202007,328.126475615632955
-1,70103,חוצה צפון, ,7723,202007,32.253475732488482
-1,10103,נתיבי איילון, ,781,202102,3812.277507439048350
-1,10103,נתיבי איילון, ,79,202102,43.748093279970504
-1,70101,נתיבי היובל,A15a,,202007,142.011400242342319
-1,70101,נתיבי היובל,A15c,,202007,52.091333626206598
-1,70101,נתיבי היובל,A80a,,202007,71.955199813185203
-1,70101,נתיבי היובל,A80a,,202007,321.386579733749727
-1,70101,נתיבי היובל,A80b,,202007,121.682288136856130
-1,70101,נתיבי היובל,A80b,,202007,408.796719623479646
-1,10104,נתע,AS06,,202104,206.446408088064317
-1,10104,נתע,דרך שיבא,,202104,564.887077192956099
-1,70101,נתיבי היובל,B005,,202007,1427.566334130497580
-1,70101,נתיבי היובל,B008,,202007,1857.826254501347194
-1,70101,נתיבי היובל,B018,,202007,723.064173140871617
-1,70101,נתיבי היובל,B019,,202007,1184.869696733319188
-1,70101,נתיבי היובל,B021,,202007,592.573194326972612
-1,70101,נתיבי היובל,B022,,202007,557.618284591597785
-1,70101,נתיבי היובל,B023,,202007,243.068064503785536
-1,70101,נתיבי היובל,B025,,202007,1370.155316348638962
-1,70101,נתיבי היובל,B028,,202007,950.120333372544337
-1,70101,נתיבי היובל,B032,,202007,1519.977423031747549
-1,70101,נתיבי היובל,B033,,202007,1541.905767496133421
-1,70101,נתיבי היובל,B06a,,202007,594.939914629547047
-1,70101,נתיבי היובל,B06b,,202007,1051.436383332338437
-1,70101,נתיבי היובל,B06c,,202007,895.976796543341607
-1,70101,נתיבי היובל,B071,,202007,250.583182890600000
-1,70101,נתיבי היובל,B072,,202007,447.326616552822998
-1,70101,נתיבי היובל,B14a,,202007,1128.852288073233240
-1,70101,נתיבי היובל,B14b,,202007,1231.576251115269770
-1,70101,נתיבי היובל,B14c,,202007,628.078965307056023
-1,70101,נתיבי היובל,B14c,,202007,53.695003843340885
-1,70101,נתיבי היובל,B24a,,202007,535.295323501595021
-1,70101,נתיבי היובל,B24b,,202007,1048.174691392770001
-1,70101,נתיבי היובל,B24c,,202007,314.550831165311706
-1,70101,נתיבי היובל,B27a,,202007,794.208326178559787
-1,70101,נתיבי היובל,B27b,,202007,804.601356363951140
-1,70101,נתיבי היובל,B32a,,202007,470.189852673630696
-1,70101,נתיבי היובל,B33a,,202007,282.883997506758988
-1,10104,נתע,BI10,,202104,187.753684939909988
-1,10104,נתע,BI15,,202104,578.291950539631216
-1,70106,דרך ארץ,BN01,,202007,511.853997767160763
-1,70106,דרך ארץ,BN07,,202007,591.907673857382179
-1,70106,דרך ארץ,BN08,,202007,1975.316895204646016
-1,70106,דרך ארץ,BN11,,202007,1083.633888856170643
-1,70106,דרך ארץ,BN12,,202007,367.951319533498918
-1,70106,דרך ארץ,BN13,,202007,738.119184601526626
-1,70106,דרך ארץ,BN15,,202007,656.918898610264591
-1,70106,דרך ארץ,BN20,,202007,1660.324384980336845
-1,70106,דרך ארץ,BN21,,202007,694.890277488698075
-1,70106,דרך ארץ,BN33,,202007,487.000016043979826
-1,70106,דרך ארץ,BN40,,202007,1717.989536192184687
-1,70106,דרך ארץ,BQ23,,202007,775.602353016019492
-1,70106,דרך ארץ,BQ25,,202007,799.853201223365659
-1,70106,דרך ארץ,BQ26,,202007,674.437801906838331
-1,70106,דרך ארץ,BQ27,,202007,598.395157147397526
-1,70101,נתיבי היובל,C50a,,202007,143.389333452923211
-1,70101,נתיבי היובל,C50a,,202007,124.168742832673729
-1,70101,נתיבי היובל,C50a,,202007,871.820392657592492
-1,70101,נתיבי היובל,C50b,,202007,187.600240246535662
-1,70101,נתיבי היובל,C50c,,202007,106.486815852459301
-1,70101,נתיבי היובל,C51a,,202007,288.443252768884349
-1,70101,נתיבי היובל,C51b,,202007,557.053222573733137
-1,70101,נתיבי היובל,C51c,,202007,174.145586807191648
-1,70101,נתיבי היובל,C51c,,202007,49.061852535823249
-1,70101,נתיבי היובל,C51c,,202007,303.511701494050328
-1,70101,נתיבי היובל,C52a,,202007,367.791191215794015
-1,70101,נתיבי היובל,C52b,,202007,68.074154827411988
-1,70101,נתיבי היובל,C52c,,202007,76.824128146684629
-1,70101,נתיבי היובל,C530,,202007,429.491073430524693
-1,70101,נתיבי היובל,C54a,,202007,282.458343042226375
-1,70101,נתיבי היובל,C54a,,202007,143.680313374829495
-1,70101,נתיבי היובל,C54a,,202007,151.511420387990768
-1,70101,נתיבי היובל,C550,,202007,119.389084024683569
-1,70101,נתיבי היובל,CDE0,,202007,1782.752358261375321
-1,70101,נתיבי היובל,CDW0,,202007,1876.613583075215274
-1,70101,נתיבי היובל,D001,,202007,876.345999075221243
-1,70101,נתיבי היובל,D002,,202007,69.711983963595543
-1,70101,נתיבי היובל,D002,,202007,0.052186203316238
-1,70101,נתיבי היובל,D002,,202007,73.237395580157653
-1,70101,נתיבי היובל,D002,,202007,0.037399999797344
-1,70101,נתיבי היובל,D002,,202007,367.851556129437540
-1,70101,נתיבי היובל,D005,,202007,100.327391047744868
-1,70101,נתיבי היובל,D005,,202007,352.894725197140929
-1,70101,נתיבי היובל,D005,,202007,258.959980824329534
-1,70101,נתיבי היובל,D006,,202007,373.420401550744884
-1,70101,נתיבי היובל,D007,,202007,205.024527207639380
-1,70101,נתיבי היובל,D011,,202007,616.948389820754073
-1,70101,נתיבי היובל,D012,,202007,361.748177959491898
-1,70101,נתיבי היובל,D012,,202007,669.523785336043261
-1,70101,נתיבי היובל,D013,,202007,966.735492700616533
-1,70101,נתיבי היובל,D03a,,202007,313.515260331428237
-1,70101,נתיבי היובל,D03b,,202007,715.515442395448417
-1,70101,נתיבי היובל,D04a,,202007,354.847308465168055
-1,70101,נתיבי היובל,D04b,,202007,282.003559739133323
-1,70106,דרך ארץ,DA1E,1,202007,2251.370464618672486
-1,70106,דרך ארץ,DA1W,1,202007,1334.021244534609423
-1,70106,דרך ארץ,EL01,,202406,585.552002764684403
-1,70106,דרך ארץ,EL02,,202406,643.409300176114243
-1,70106,דרך ארץ,EL03,,202406,601.756459190117425
-1,70106,דרך ארץ,EL04,,202406,639.478290521080908
-1,70106,דרך ארץ,ET03,,202007,941.884599756822354
-1,70106,דרך ארץ,ET04,,202007,691.955134565630715
-1,70106,דרך ארץ,ET04,,202007,299.633612797101478
-1,70106,דרך ארץ,ET04,,202007,744.814677857473157
-1,70106,דרך ארץ,EY60,,202007,625.889937335363015
-1,70106,דרך ארץ,EY70,,202007,440.367879614203332
-1,70106,דרך ארץ,EY80,,202007,398.089742219083575
-1,70106,דרך ארץ,EY90,,202007,602.111790838893512
-1,70106,דרך ארץ,GA05,,202007,369.873549702737932
-1,10101,נתיבי ישראל,GL01,,202007,274.381048272439045
-1,10101,נתיבי ישראל,GL03,,202007,290.374470958452719
-1,10101,נתיבי ישראל,GL04,,202007,308.143599915073764
-1,70101,נתיבי היובל,GR04,,202007,141.824163182568981
-1,70101,נתיבי היובל,GR05,,202007,468.279884234253075
-1,10104,נתע,משה דיין,,202007,85.068454696448725
-1,10104,נתע,אברהם בר,,202007,192.468321402489522
-1,10104,נתע,אברהם בר,,202007,222.316616247785248
-1,10104,נתע,GR1,,202007,75.954684946319972
-1,10104,נתע,משה דיין,,202007,345.406118577675386
-1,10104,נתע,GR1,,202007,63.890022571416999
-1,10104,נתע,משה דיין,,202007,207.211414911628339
-1,10104,נתע,GR1,,202007,47.889011163241300
-1,10104,נתע,GR1,,202007,25.136620365471995
-1,10104,נתע,GR1,,202007,28.722810626010912
-1,10104,נתע,אברהם בר,,202007,360.384756134835357
-1,10104,נתע,GR1,,202007,63.854495226079216
-1,10104,נתע,משה דיין,,202007,360.642259662584365
-1,10104,נתע,משה דיין,,202007,129.762194059495641
-1,10104,נתע,GR1,,202007,194.208240545484017
-1,10104,נתע,GR1,,202007,70.381345274505875
-1,10104,נתע,משה דיין,,202007,262.840954938892878
-1,10104,נתע,GR1,,202007,14.044283477815299
-1,10104,נתע,GR1,,202007,8.875156985007859
-1,10104,נתע,GR1,,202007,8.448309612132794
-1,10104,נתע,GR1,,202007,12.738319177001344
-1,10104,נתע,אברהם בר,,202007,60.781892123092661
-1,10104,נתע,GR1,,202007,17.062612729271191
-1,10104,נתע,אברהם בר,,202007,259.769992614790567
-1,10104,נתע,GR1,,202007,77.155953039591950
-1,10104,נתע,שייקה דן,,202007,168.935206032706901
-1,10104,נתע,GR1,,202007,395.402606342111142
-1,10104,נתע,GR1,,202007,37.648338067503303
-1,10104,נתע,שייקה דן,,202007,44.908758461479543
-1,10104,נתע,GR1,,202007,33.130738082886317
-1,10104,נתע,GR1,,202007,73.881416345726393
-1,10104,נתע,שמחה ארליך,,202007,620.993408695719495
-1,10104,נתע,GR1,,202007,52.707897253421912
-1,10104,נתע,שמחה ארליך,,202007,231.894743955296548
-1,10104,נתע,שמחה ארליך,,202007,74.582277671568264
-1,10104,נתע,GR1,,202007,44.674786944749286
-1,10104,נתע,GR1,,202007,53.339098414760784
-1,10104,נתע,GR1,,202007,15.461134523488754
-1,10104,נתע,חיים בר לב,,202007,427.331564358364631
-1,10104,נתע,GR1,,202007,80.505270387054196
-1,10104,נתע,GR1,,202007,70.794423578752742
-1,10104,נתע,GR1,,202007,70.234717755269870
-1,10104,נתע,ראובן ברקת,,202007,214.160225612125572
-1,10104,נתע,GR1,,202007,36.163895654239475
-1,10104,נתע,ראובן ברקת,,202007,18.135031281067175
-1,10104,נתע,ראובן ברקת,,202007,212.174271244770466
-1,10104,נתע,GR1,,202007,45.957870196766557
-1,10104,נתע,ראובן ברקת,,202007,87.335845458005323
-1,10104,נתע,GR1,,202007,73.406692438584543
-1,10104,נתע,ראובן ברקת,,202007,112.395900259337310
-1,10104,נתע,GR1,,202007,39.201599348991550
-1,10104,נתע,ראובן ברקת,,202007,107.949149495250694
-1,10104,נתע,GR1,,202007,67.723141100571453
-1,10104,נתע,GR1,,202007,49.738135187355269
-1,10104,נתע,ראובן ברקת,,202007,110.731745700872523
-1,10104,נתע,ראובן ברקת,,202007,83.333673391468977
-1,10104,נתע,GR1,,202007,45.841372337223021
-1,10104,נתע,GR1,,202007,77.608838405399922
-1,10104,נתע,יעקב פיכמן,,202007,108.732026910785521
-1,10104,נתע,GR1,,202007,61.992100577896771
-1,10104,נתע,GR1,,202007,46.269182204244288
-1,10104,נתע,יעקב פיכמן,,202007,108.897936165928911
-1,10104,נתע,GR1,,202007,23.189358387870502
-1,10104,נתע,יעקב פיכמן,,202007,37.566667299109227
-1,10104,נתע,יעקב פיכמן,,202007,72.669333903966205
-1,10104,נתע,GR1,,202007,39.498588360458783
-1,10104,נתע,יעקב פיכמן,,202007,43.872557755420125
-1,10104,נתע,GR1,,202007,45.683803225773744
-1,10104,נתע,GR1,,202007,49.885011677464668
-1,10104,נתע,יעקב פיכמן,,202007,28.345091284462058
-1,10104,נתע,יעקב פיכמן,,202007,92.553105225348617
-1,10104,נתע,GR1,,202007,35.443078139007454
-1,10104,נתע,GR1,,202007,65.730532942918273
-1,10104,נתע,אריה שנקר,,202007,73.292220769574158
-1,10104,נתע,GR1,,202007,61.814012735118915
-1,10104,נתע,GR1,,202007,56.410222199688988
-1,10104,נתע,אריה שנקר,,202007,150.536076458416375
-1,10104,נתע,GR1,,202007,44.673389190781549
-1,10104,נתע,GR1,,202007,41.849845926163276
-1,10104,נתע,אריה שנקר,,202007,69.142909915170478
-1,10104,נתע,GR1,,202007,60.068786860813084
-1,10104,נתע,אריה שנקר,,202007,73.126815607183019
-1,10104,נתע,GR1,,202007,78.264911276847769
-1,10104,נתע,GR1,,202007,16.947711253137111
-1,10104,נתע,GR1,,202007,186.100363069912163
-1,10104,נתע,אריה שנקר,,202007,74.875357054444734
-1,10104,נתע,GR1,,202007,33.375025737550736
-1,10104,נתע,GR1,,202007,17.016296845186606
-1,10104,נתע,GR1,,202007,53.569710996784508
-1,10104,נתע,אריה שנקר,,202007,69.080286409482810
-1,10104,נתע,GR1,,202007,34.678648885222657
-1,10104,נתע,GR1,,202007,20.750153965355022
-1,10104,נתע,GR1,,202007,196.542260954762270
-1,10104,נתע,אריה שנקר,,202007,170.382327136669289
-1,10104,נתע,GR2,,202007,280.962653620644346
-1,10104,נתע,שד ירושלים,,202007,396.518700133323364
-1,10104,נתע,GR2,,202007,90.502866404076656
-1,10104,נתע,GR2,,202007,35.295333188436466
-1,10104,נתע,GR2,,202007,91.156366733873099
-1,10104,נתע,GR2,,202007,22.950591606720685
-1,10104,נתע,שד ירושלים,,202007,223.469628779563266
-1,10104,נתע,GR2,,202007,62.779190865110472
-1,10104,נתע,GR2,,202007,171.405846644868689
-1,10104,נתע,שד ירושלים,,202007,431.018829793969871
-1,10104,נתע,GR2,,202007,163.302417341618025
-1,10104,נתע,GR2,,202007,69.432099043668757
-1,10104,נתע,שד ירושלים,,202007,221.763971621494733
-1,10104,נתע,GR2,,202007,46.331530329738968
-1,10104,נתע,שד ירושלים,,202007,319.264246226431226
-1,10104,נתע,GR2,,202007,51.237556032820869
-1,10104,נתע,שד ירושלים,,202007,30.478191838081433
-1,10104,נתע,שד ירושלים,,202007,103.037434481060643
-1,10104,נתע,GR2,,202007,38.599430925104897
-1,10104,נתע,שד ירושלים,,202007,405.374704322907519
-1,10104,נתע,GR2,,202007,56.640302731187276
-1,10104,נתע,שד ירושלים,,202007,48.069725485490032
-1,10104,נתע,שד ירושלים,,202007,40.309308036573405
-1,10104,נתע,GR2,,202007,107.295817413930678
-1,10104,נתע,GR2,,202007,28.565586827194490
-1,10104,נתע,שד ירושלים,,202007,198.620971779816955
-1,10104,נתע,שד ירושלים,,202007,128.413584184939879
-1,10104,נתע,GR2,,202007,47.809111947208159
-1,10104,נתע,GR2,,202007,33.953881179605652
-1,10104,נתע,שד ירושלים,,202007,44.468938216869063
-1,10104,נתע,סוקולוב,,202007,40.850266910427507
-1,10104,נתע,שד ירושלים,,202007,81.772732874803808
-1,10104,נתע,שד ירושלים,,202007,88.356138478657556
-1,70101,נתיבי היובל,H100,,202007,1832.323582300522958
-1,70101,נתיבי היובל,H200,,202007,2141.317727408221799
-1,70101,נתיבי היובל,H300,,202007,2042.179941008864489
-1,70101,נתיבי היובל,H400,,202007,1514.389588855236525
-1,70101,נתיבי היובל,H500,,202007,625.269706836492674
-1,70101,נתיבי היובל,H700,,202007,723.957755852051946
-1,70101,נתיבי היובל,H800,,202007,670.992595854911201
-1,70106,דרך ארץ,HR20,,202007,1318.895272537150959
-1,70106,דרך ארץ,HR30,,202007,658.568464571479581
-1,70106,דרך ארץ,HR40,,202007,572.666557776154150
-1,70106,דרך ארץ,HR50,,202007,1052.838659575622842
-1,70106,דרך ארץ,IR10,,202007,1462.006414860788027
-1,70106,דרך ארץ,IR20,,202007,1004.310158356048419
-1,70106,דרך ארץ,IR30,,202007,1442.519639346929580
-1,70106,דרך ארץ,IR40,,202007,335.042841685929943
-1,70106,דרך ארץ,IR50,,202007,725.816490785877363
-1,70106,דרך ארץ,IR60,,202007,2085.646867138447760
-1,70106,דרך ארץ,IR70,,202007,484.063321142258815
-1,10101,נתיבי ישראל,LR04,,202204,37.369165977638239
-1,10104,נתע,MD01,,202007,32.851210092752424
-1,10104,נתע,MD02,,202007,100.771646769225811
-1,10104,נתע,MD03,,202007,124.084701722482805
-1,10104,נתע,MD04,,202007,59.859102224021441
-1,10104,נתע,משה דיין,,202007,181.722465542889211
-1,70101,נתיבי היובל,MOT1,,202007,235.852249626787341
-1,70106,דרך ארץ,NA10,,202007,567.041999759821238
-1,70106,דרך ארץ,NA10,,202007,114.987850771467876
-1,70106,דרך ארץ,NA10,,202007,5.259833367868633
-1,70106,דרך ארץ,NA20,,202007,826.742603419315401
-1,70106,דרך ארץ,NA30,,202007,141.881724719518076
-1,70106,דרך ארץ,NA30,,202007,113.109445303983250
-1,70106,דרך ארץ,NA30,,202007,441.016614311345847
-1,70106,דרך ארץ,NA50,,202007,790.758784936781467
-1,70106,דרך ארץ,NA51,,202007,814.548363812021421
-1,70106,דרך ארץ,NA70,,202007,742.795752854355101
-1,70106,דרך ארץ,NS10,,202007,1528.950047031087479
-1,70106,דרך ארץ,NS11,,202007,427.383463178016655
-1,70106,דרך ארץ,NS12,,202007,1606.426084111925093
-1,70106,דרך ארץ,NS13,,202007,1241.924266710823304
-1,70106,דרך ארץ,NS14,,202007,1040.048258186609928
-1,70106,דרך ארץ,NS15,,202007,751.991332172833268
-1,70106,דרך ארץ,NS16,,202007,609.628579714934517
-1,70106,דרך ארץ,NS16,,202007,567.404768298855402
-1,70106,דרך ארץ,NS16,,202007,479.232533986247688
-1,70106,דרך ארץ,NS4A,,202007,1052.244077471112405
-1,70106,דרך ארץ,NS5A,,202007,550.400391710619260
-1,70106,דרך ארץ,NS6A,,202007,1663.030152789298882
-1,70106,דרך ארץ,NS7A,,202007,310.180896857892833
